ticker;scenario;entry_date;entry_price;exit_date;exit_price;exit_reason;return_pct;max_drawdown_pct;holding_weeks;score;fib_retracement;stop_price;target_1618;target_2618;hit_target_1;hit_target_2;weeks_to_target_1;max_favorable_excursion;precio_punto0;precio_puntoC;bolsa;ratio_volumen;pct_sobre_linea;close_strength;weeks_since_c;w1_duration;w2_duration;avg_volume_w2
PFE;A;2018-07-30;26.3452;2019-07-29;25.562;TIMEOUT;-0.0297;-0.0379;52;59;0.4488;17.9679;33.5727;40.7667;False;False;;0.1551;17.9679;21.9329;US;1.33;0.188;0.9524;13;65;13;123907218.61538461
PFE;B;2018-07-30;26.3452;2019-07-29;25.562;TIMEOUT;-0.0297;-0.0379;52;59;0.4488;21.9329;33.5727;40.7667;False;False;;0.1551;17.9679;21.9329;US;1.33;0.188;0.9524;13;65;13;123907218.61538461
PFE;C;2018-07-30;26.3452;2018-12-24;26.78;STOP_C_P3;0.0165;-0.0052;21;59;0.4488;26.78;33.5727;40.7667;False;False;;0.1551;17.9679;21.9329;US;1.33;0.188;0.9524;13;65;13;123907218.61538461
MDT;A;2018-08-20;76.9497;2019-08-19;86.8354;TIMEOUT;0.1285;-0.1405;52;31;0.3749;48.5445;93.8796;114.0909;False;False;;0.1673;48.5445;61.1777;US;1.6969;0.1563;0.8567;22;41;88;24647473.863636363
MDT;B;2018-08-20;76.9497;2019-08-19;86.8354;TIMEOUT;0.1285;-0.1405;52;31;0.3749;61.1777;93.8796;114.0909;False;False;;0.1673;48.5445;61.1777;US;1.6969;0.1563;0.8567;22;41;88;24647473.863636363
MDT;C;2018-08-20;76.9497;2019-08-19;86.8354;TIMEOUT;0.1285;-0.1405;52;31;0.3749;79.0452;93.8796;114.0909;False;False;;0.1673;48.5445;61.1777;US;1.6969;0.1563;0.8567;22;41;88;24647473.863636363
HPE;A;2018-08-27;12.9267;2019-08-26;11.1342;TIMEOUT;-0.1387;-0.258;52;31;0.3761;5.0793;27.4612;37.4448;False;False;;0.052;5.0793;11.3079;US;1.3045;0.0651;0.203;8;111;17;58938905.88235294
HPE;B;2018-08-27;12.9267;2018-10-29;11.3079;STOP_C;-0.1252;-0.1253;9;31;0.3761;11.3079;27.4612;37.4448;False;False;;0.052;5.0793;11.3079;US;1.3045;0.0651;0.203;8;111;17;58938905.88235294
HPE;C;2018-08-27;12.9267;2018-12-17;10.7425;STOP_C_P1;-0.169;-0.2335;16;31;0.3761;10.7425;27.4612;37.4448;False;False;;0.052;5.0793;11.3079;US;1.3045;0.0651;0.203;8;111;17;58938905.88235294
INGA.AS;A;2018-09-17;7.3827;2019-09-16;6.5904;TIMEOUT;-0.1073;-0.248;52;74;0.6107;4.6965;15.5279;20.9239;False;False;;0.0788;4.6965;6.7972;AS;1.556;0.0154;0.8094;2;83;32;75349004.53125
INGA.AS;B;2018-09-17;7.3827;2018-10-15;6.7972;STOP_C;-0.0793;-0.1104;4;74;0.6107;6.7972;15.5279;20.9239;False;False;;0.0036;4.6965;6.7972;AS;1.556;0.0154;0.8094;2;83;32;75349004.53125
INGA.AS;C;2018-09-17;7.3827;2018-10-22;6.4574;STOP_C_P1;-0.1253;-0.1369;5;74;0.6107;6.4574;15.5279;20.9239;False;False;;0.0036;4.6965;6.7972;AS;1.556;0.0154;0.8094;2;83;32;75349004.53125
BALL;A;2018-10-08;40.4741;2019-06-10;61.4765;TARGET_2;0.5189;-0.0415;35;55;0.6599;27.8736;50.1168;61.4765;True;True;18;0.5229;27.8736;31.7368;US;1.5195;0.0997;0.2239;15;90;34;14386523.529411765
BALL;B;2018-10-08;40.4741;2019-06-10;61.4765;TARGET_2;0.5189;-0.0415;35;55;0.6599;31.7368;50.1168;61.4765;True;True;18;0.5229;27.8736;31.7368;US;1.5195;0.0997;0.2239;15;90;34;14386523.529411765
BALL;C;2018-10-08;40.4741;2018-12-17;41.1179;STOP_C_P3;0.0159;-0.0371;10;55;0.6599;41.1179;50.1168;61.4765;False;False;;0.1544;27.8736;31.7368;US;1.5195;0.0997;0.2239;15;90;34;14386523.529411765
IP;A;2018-11-26;30.7903;2019-11-25;32.3446;TIMEOUT;0.0505;-0.1871;52;59;0.7128;19.3032;64.4584;88.1596;False;False;;0.0577;19.3032;26.1098;US;1.4237;0.0229;0.8473;5;105;38;15163984.921052631
IP;B;2018-11-26;30.7903;2018-12-17;26.1098;STOP_C;-0.152;-0.1554;3;59;0.7128;26.1098;64.4584;88.1596;False;False;;0.0323;19.3032;26.1098;US;1.4237;0.0229;0.8473;5;105;38;15163984.921052631
IP;C;2018-11-26;30.7903;2019-11-25;32.3446;TIMEOUT;0.0505;-0.1871;52;59;0.7128;24.8043;64.4584;88.1596;False;False;;0.0577;19.3032;26.1098;US;1.4237;0.0229;0.8473;5;105;38;15163984.921052631
RJF;A;2019-01-14;48.2937;2020-01-13;58.1703;TIMEOUT;0.2045;-0.0948;52;68;0.5137;22.746;101.24;138.5422;False;False;;0.2074;22.746;40.8852;US;1.4859;0.0305;0.9327;3;119;31;6890501.612903226
RJF;B;2019-01-14;48.2937;2020-01-13;58.1703;TIMEOUT;0.2045;-0.0948;52;68;0.5137;40.8852;101.24;138.5422;False;False;;0.2074;22.746;40.8852;US;1.4859;0.0305;0.9327;3;119;31;6890501.612903226
RJF;C;2019-01-14;48.2937;2020-01-13;58.1703;TIMEOUT;0.2045;-0.0948;52;68;0.5137;48.2937;101.24;138.5422;False;False;;0.2074;22.746;40.8852;US;1.4859;0.0305;0.9327;3;119;31;6890501.612903226
ASML.AS;A;2019-01-21;143.312;2020-01-20;255.144;TIMEOUT;0.7803;-0.0294;52;63;0.4891;63.1953;303.0129;415.6635;False;False;;0.8076;63.1953;120.7444;AS;1.3642;0.1116;0.9871;3;152;23;7427844.043478261
LRCX;A;2019-01-21;15.0636;2020-01-20;28.5005;TIMEOUT;0.892;-0.0392;52;70;0.5869;5.2836;34.1892;48.4204;False;False;;0.9549;5.2836;11.1632;US;1.7405;0.0595;0.9548;4;113;57;159788807.01754385
URI;A;2019-01-21;122.5099;2020-01-20;145.9895;TIMEOUT;0.1917;-0.1993;52;56;0.433;40.336;234.6525;323.5843;False;False;;0.3362;40.336;90.7609;US;1.7329;0.0307;0.9706;4;55;95;7237812.631578947
ASML.AS;B;2019-01-21;143.312;2020-01-20;255.144;TIMEOUT;0.7803;-0.0294;52;63;0.4891;120.7444;303.0129;415.6635;False;False;;0.8076;63.1953;120.7444;AS;1.3642;0.1116;0.9871;3;152;23;7427844.043478261
LRCX;B;2019-01-21;15.0636;2020-01-20;28.5005;TIMEOUT;0.892;-0.0392;52;70;0.5869;11.1632;34.1892;48.4204;False;False;;0.9549;5.2836;11.1632;US;1.7405;0.0595;0.9548;4;113;57;159788807.01754385
URI;B;2019-01-21;122.5099;2020-01-20;145.9895;TIMEOUT;0.1917;-0.1993;52;56;0.433;90.7609;234.6525;323.5843;False;False;;0.3362;40.336;90.7609;US;1.7329;0.0307;0.9706;4;55;95;7237812.631578947
